Alabama	LOCATION
Alaska	LOCATION
Arizona	LOCATION
Arkansas	LOCATION
California	LOCATION
Colorado	LOCATION
Connecticut	LOCATION
Delaware	LOCATION
District of Columbia	LOCATION
Florida	LOCATION
Georgia	LOCATION
Hawaii	LOCATION
Idaho	LOCATION
Illinois	LOCATION
Indiana	LOCATION
Iowa	LOCATION
Kansas	LOCATION
Kentucky	LOCATION
Louisiana	LOCATION
Maine	LOCATION
Maryland	LOCATION
Massachusetts	LOCATION
Michigan	LOCATION
Minnesota	LOCATION
Mississippi	LOCATION
Missouri	LOCATION
Montana	LOCATION
Nebraska	LOCATION
Nevada	LOCATION
New Hampshire	LOCATION
New Jersey	LOCATION
New Mexico	LOCATION
New York	LOCATION
North Carolina	LOCATION
North Dakota	LOCATION
Ohio	LOCATION
Oklahoma	LOCATION
Oregon	LOCATION
Pennsylvania	LOCATION
Rhode Island	LOCATION
South Carolina	LOCATION
South Dakota	LOCATION
Tennessee	LOCATION
Texas	LOCATION
Utah	LOCATION
Vermont	LOCATION
Virginia	LOCATION
Washington	LOCATION
West Virginia	LOCATION
Wisconsin	LOCATION
Wyoming	LOCATION
